Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
ADD 63046836
RECV 63046852
SEND 63046868
ADD 63046854
RECV 63046870
SEND 63046885
ADD 63046871
RECV 63046887
SEND 63046901
ADD 63046889
RECV 63046903
SEND 63046919
ADD 63046905
RECV 63046921
SEND 63046935
ADD 63046923
RECV 63046937
SEND 63046953
ADD 63046939
RECV 63046955
SEND 63046969
ADD 63046957
RECV 63046971
SEND 63046987
ADD 63046973
RECV 63046989
SEND 63047003
ADD 63046991
RECV 63047006
SEND 63047022
ADD 63047007
RECV 63047024
SEND 63047040
ADD 63047026
RECV 63047042
SEND 63047056
ADD 63047043
RECV 63047059
SEND 63047074
ADD 63047061
RECV 63047076
SEND 63047091
ADD 63047078
RECV 63047093
SEND 63047109
ADD 63047095
RECV 63047111
SEND 63047126
ADD 63047112
RECV 63047128
SEND 63047142
ADD 63047130
RECV 63047144
SEND 63047159
ADD 63047146
RECV 63047161
SEND 63047176
ADD 63047162
RECV 63047178
SEND 63047194
ADD 63047179
RECV 63047196
SEND 63047211
ADD 63047198
RECV 63047213
SEND 63047227
ADD 63047215
RECV 63047229
SEND 63047244
ADD 63047231
RECV 63047246
SEND 63047262
ADD 63047248
RECV 63047264
SEND 63047279
ADD 63047266
RECV 63047281
SEND 63047295
ADD 63047283
RECV 63047297
SEND 63047312
ADD 63047299
RECV 63047314
SEND 63047330
ADD 63047316
RECV 63047332
SEND 63047347
ADD 63047334
RECV 63047349
SEND 63047363
ADD 63047351
RECV 63047365
SEND 63047381
SEND 63047398
SEND 63047414
SEND 63047431
ADD 63047368
RECV 63047492
ADD 63047493
RECV 63047494
ADD 63047496
RECV 63047497
ADD 63047499
RECV 63047499
SEND 63047513
ADD 63047501
RECV 63047514
SEND 63047530
ADD 63047515
RECV 63047531
SEND 63047547
ADD 63047533
RECV 63047548
SEND 63047564
ADD 63047550
RECV 63047565
SEND 63047581
ADD 63047567
RECV 63047582
SEND 63047597
ADD 63047584
RECV 63047599
SEND 63047615
ADD 63047601
RECV 63047617
SEND 63047632
ADD 63047619
RECV 63047634
SEND 63047649
ADD 63047636
RECV 63047651
SEND 63047665
ADD 63047653
RECV 63047667
SEND 63047683
ADD 63047669
